Case Number,Product Info,Case Owner,VENDOR,Case Origin,Customer Request,Type Leve 1,Type Level 2,Type Level 3,Cloesed Date,1-CR,2-CSAT,3-DSAT Reason,4-Satisfaction Driver,5-Open Suggestion,Work Order,SN,Service Center,Service Type,month,week,dayweek
CASE003881,,Agent_027,NOT TP,Chat,Individual,Technical,Account,Installation,2024-09-15,Yes,,,,,,,,,septiembre,37,Sunday
CASE003882,Product C,Agent_011,TP,Email,Individual,Billing,Account,Configuration,2024-09-25,,,,,,WO4451,,,,septiembre,39,Wednesday
CASE003883,Product C,Agent_045,TP,Phone,Business,Billing,Software,Question,2024-08-11,,,,,,,,Center A,,agosto,32,Sunday
CASE003884,Product C,Agent_024,TP,Phone,Business,Billing,Other,Configuration,2024-07-31,,,,,,,,,,julio,31,Wednesday
CASE003885,Product C,Agent_036,NOT TP,Web,Individual,Billing,Account,Installation,2024-08-08,,,,,,WO6150,,,,agosto,32,Thursday
CASE003886,Product C,Agent_011,NOT TP,Email,Individual,Technical,Software,Configuration,2024-07-19,,,,,,,,,,julio,29,Friday
CASE003887,Product B,Agent_029,NOT TP,Email,Individual,Technical,Other,Error,2024-09-23,,,,,,,,,Premium,septiembre,39,Monday
CASE003888,Product C,Agent_016,NOT TP,Chat,Business,Technical,Software,Configuration,2024-09-05,,,,,,,,,,septiembre,36,Thursday
CASE003889,Product B,Agent_038,NOT TP,Phone,Individual,General,Other,Error,2024-07-29,,,,,,,,,,julio,31,Monday
CASE003890,,Agent_003,TP,Web,Individual,General,Other,Configuration,2024-08-22,,,,,,,,,,agosto,34,Thursday
CASE003891,,Agent_009,NOT TP,Phone,Individual,Billing,Hardware,Error,2024-08-08,,,,,,WO5726,,Center B,,agosto,32,Thursday
CASE003892,Product C,Agent_007,NOT TP,Email,Individual,Billing,Hardware,Configuration,2024-08-05,,,,,,WO5250,,,,agosto,32,Monday
CASE003893,,Agent_041,NOT TP,Email,Individual,Billing,Hardware,Question,2024-07-08,,,,,,WO2738,,,,julio,28,Monday
CASE003894,Product C,Agent_040,TP,Web,Business,Billing,Account,Configuration,2024-09-10,,,,,,WO5565,,,,septiembre,37,Tuesday
CASE003895,,Agent_025,NOT TP,Email,Business,Billing,Software,Installation,2024-09-14,,,,,,,,,Standard,septiembre,37,Saturday
CASE003896,,Agent_050,NOT TP,Web,Individual,General,Other,Installation,2024-07-23,,,,,,,,,,julio,30,Tuesday
CASE003897,,Agent_011,TP,Web,Individual,Billing,Software,Error,2024-09-19,,,,,,WO3766,,,,septiembre,38,Thursday
CASE003898,,Agent_002,NOT TP,Phone,Business,Technical,Account,Installation,2024-09-25,,,,,,,,,,septiembre,39,Wednesday
CASE003899,,Agent_032,TP,Web,Individual,Billing,Hardware,Error,2024-08-24,,,,,,WO9844,,,,agosto,34,Saturday
CASE003900,,Agent_006,TP,Email,Individual,Technical,Hardware,Question,2024-09-10,,,,,,,,,Premium,septiembre,37,Tuesday
CASE003901,Product C,Agent_001,NOT TP,Chat,Business,Technical,Software,Installation,2024-09-02,,,,,,,,,,septiembre,36,Monday
CASE003902,,Agent_001,TP,Chat,Business,Technical,Software,Installation,2024-07-07,,,,,,,,,,julio,27,Sunday
CASE003903,,Agent_012,NOT TP,Email,Business,Technical,Other,Error,2024-08-14,,,,,,WO7054,,,,agosto,33,Wednesday
CASE003904,,Agent_006,NOT TP,Chat,Individual,Billing,Software,Question,2024-09-21,,Very satisfied,,Service attitude,,,,,Premium,septiembre,38,Saturday
CASE003905,Product B,Agent_046,TP,Chat,Individual,Billing,Other,Question,2024-09-24,,,,,,WO7987,,,,septiembre,39,Tuesday
CASE003906,Product B,Agent_042,NOT TP,Web,Individual,Billing,Other,Configuration,2024-08-18,,,,,,,,,,agosto,33,Sunday
CASE003907,Product B,Agent_038,TP,Chat,Individual,Billing,Hardware,Error,2024-09-06,,,,,,,,,,septiembre,36,Friday
CASE003908,,Agent_019,TP,Chat,Business,Billing,Software,Error,2024-08-10,,,,,,WO5832,,,,agosto,32,Saturday
CASE003909,,Agent_027,TP,Chat,Individual,General,Hardware,Question,2024-09-28,,,,,,WO2965,,,,septiembre,39,Saturday
CASE003910,Product B,Agent_045,TP,Phone,Business,Technical,Other,Error,2024-08-23,,,,,,,,,,agosto,34,Friday
CASE003911,Product C,Agent_050,TP,Email,Individual,Technical,Hardware,Installation,2024-08-22,,,,,,,,,,agosto,34,Thursday
CASE003912,,Agent_031,NOT TP,Web,Individual,General,Hardware,Installation,2024-07-20,,,,,,,,,,julio,29,Saturday
CASE003913,Product A,Agent_045,NOT TP,Chat,Business,General,Other,Installation,2024-08-08,,Very satisfied,,,,WO5562,,,Standard,agosto,32,Thursday
CASE003914,,Agent_009,TP,Email,Individual,Billing,Account,Error,2024-08-18,,Very satisfied,,Problem-solving,,,,,Express,agosto,33,Sunday
CASE003915,,Agent_014,NOT TP,Chat,Individual,Billing,Account,Configuration,2024-07-24,,,,,,,,,,julio,30,Wednesday
CASE003916,Product B,Agent_010,NOT TP,Phone,Individual,Technical,Software,Configuration,2024-09-07,,,,,,,,,,septiembre,36,Saturday
CASE003917,Product A,Agent_041,NOT TP,Phone,Individual,Billing,Hardware,Question,2024-08-30,,,,,,,,,,agosto,35,Friday
CASE003918,,Agent_018,NOT TP,Chat,Individual,Technical,Software,Error,2024-07-31,,,,,,,,,,julio,31,Wednesday
CASE003919,,Agent_034,TP,Chat,Individual,Billing,Hardware,Question,2024-07-29,,,,,,,,Center A,,julio,31,Monday
CASE003920,Product C,Agent_029,TP,Chat,Individual,Billing,Software,Error,2024-08-08,,,,,,,,,,agosto,32,Thursday
CASE003921,Product C,Agent_027,NOT TP,Phone,Business,Technical,Software,Configuration,2024-09-29,,,,,,,,,,septiembre,39,Sunday
CASE003922,Product C,Agent_016,NOT TP,Phone,Individual,General,Other,Installation,2024-07-19,,,,,,,,,Standard,julio,29,Friday
CASE003923,Product A,Agent_012,TP,Email,Individual,General,Account,Error,2024-08-29,,,,,,,,,,agosto,35,Thursday
CASE003924,Product B,Agent_040,TP,Web,Individual,Billing,Account,Configuration,2024-07-08,,,,,,,,,Standard,julio,28,Monday
CASE003925,,Agent_045,NOT TP,Web,Individual,General,Account,Configuration,2024-09-10,,,,,,,,Center A,,septiembre,37,Tuesday
CASE003926,,Agent_003,NOT TP,Phone,Individual,Billing,Other,Configuration,2024-08-22,,,,,,,,,,agosto,34,Thursday
CASE003927,Product A,Agent_039,NOT TP,Web,Individual,General,Account,Installation,2024-08-23,No,,,,,,,,,agosto,34,Friday
CASE003928,Product A,Agent_012,NOT TP,Chat,Individual,General,Other,Configuration,2024-09-10,,,,,,WO8100,,,Standard,septiembre,37,Tuesday
CASE003929,,Agent_046,TP,Email,Business,Technical,Hardware,Question,2024-09-06,,,,,,,,,Premium,septiembre,36,Friday
CASE003930,Product C,Agent_032,NOT TP,Phone,Business,General,Other,Configuration,2024-07-18,,,,,,,,,,julio,29,Thursday
CASE003931,,Agent_040,NOT TP,Phone,Business,Billing,Software,Configuration,2024-08-19,,,,,,,,,,agosto,34,Monday
CASE003932,,Agent_006,TP,Web,Individual,Technical,Software,Error,2024-08-01,,,,,,,,,,agosto,31,Thursday
CASE003933,,Agent_041,NOT TP,Chat,Individual,General,Hardware,Error,2024-08-02,,,,,,,,,,agosto,31,Friday
CASE003934,Product A,Agent_020,NOT TP,Email,Business,Technical,Hardware,Error,2024-07-27,,,,,,WO1583,,,Express,julio,30,Saturday
CASE003935,,Agent_023,TP,Web,Individual,General,Software,Configuration,2024-08-12,No,,,,,WO1130,,,Express,agosto,33,Monday
CASE003936,,Agent_027,NOT TP,Phone,Business,Billing,Account,Configuration,2024-09-21,,,,,,,,,Standard,septiembre,38,Saturday
CASE003937,Product A,Agent_001,NOT TP,Phone,Individual,Billing,Account,Question,2024-07-11,,,,,,,,,,julio,28,Thursday
CASE003938,Product A,Agent_036,NOT TP,Web,Individual,Technical,Account,Installation,2024-08-27,,,,,,WO4607,,,,agosto,35,Tuesday
CASE003939,Product A,Agent_016,TP,Chat,Business,General,Hardware,Configuration,2024-08-17,,,,,,,,,,agosto,33,Saturday
CASE003940,,Agent_013,TP,Email,Business,General,Software,Installation,2024-07-12,,,,,,,,,,julio,28,Friday
CASE003941,Product A,Agent_008,NOT TP,Email,Business,Technical,Other,Configuration,2024-09-07,,,,,,,,,,septiembre,36,Saturday
CASE003942,Product A,Agent_034,TP,Email,Business,Technical,Hardware,Installation,2024-07-25,,,,,,WO9138,,,,julio,30,Thursday
CASE003943,,Agent_007,NOT TP,Email,Individual,Billing,Software,Error,2024-07-07,No,,,,,,,,,julio,27,Sunday
CASE003944,Product C,Agent_040,NOT TP,Chat,Individual,Technical,Account,Configuration,2024-08-04,,,,,,,,,,agosto,31,Sunday
CASE003945,Product A,Agent_024,TP,Phone,Business,General,Account,Question,2024-08-18,,,,,,WO9459,,,,agosto,33,Sunday
CASE003946,,Agent_049,NOT TP,Phone,Individual,Technical,Account,Installation,2024-09-25,,,,,,WO4509,,,,septiembre,39,Wednesday
CASE003947,Product C,Agent_035,NOT TP,Email,Individual,Billing,Software,Error,2024-09-16,,,,,,,,,,septiembre,38,Monday
CASE003948,Product C,Agent_033,TP,Email,Individual,Technical,Account,Question,2024-09-16,,,,,,,,,,septiembre,38,Monday
CASE003949,Product C,Agent_015,NOT TP,Email,Individual,General,Software,Error,2024-07-06,,,,,,,,,Express,julio,27,Saturday
CASE003950,Product B,Agent_030,NOT TP,Web,Individual,Technical,Hardware,Configuration,2024-07-10,,,,,,,,,,julio,28,Wednesday
CASE003951,,Agent_050,NOT TP,Web,Individual,Technical,Other,Question,2024-07-25,,,,,,,,,,julio,30,Thursday
CASE003952,,Agent_041,NOT TP,Phone,Business,Technical,Account,Installation,2024-09-14,,,,,,,,,,septiembre,37,Saturday
CASE003953,Product B,Agent_043,NOT TP,Phone,Business,Billing,Hardware,Installation,2024-09-24,,,,,,,,,,septiembre,39,Tuesday
CASE003954,Product C,Agent_014,NOT TP,Email,Individual,Billing,Hardware,Question,2024-09-10,,,,,,,,,,septiembre,37,Tuesday
CASE003955,Product B,Agent_018,NOT TP,Web,Individual,Billing,Software,Installation,2024-07-28,,,,,,,,,,julio,30,Sunday
CASE003956,Product C,Agent_004,NOT TP,Chat,Individual,Billing,Hardware,Error,2024-08-31,,,,,,,,,Standard,agosto,35,Saturday
CASE003957,,Agent_013,NOT TP,Web,Individual,General,Software,Question,2024-07-27,,,,,,,,,Standard,julio,30,Saturday
CASE003958,Product A,Agent_008,TP,Phone,Individual,General,Software,Installation,2024-08-12,,,,,,,,,,agosto,33,Monday
CASE003959,Product C,Agent_010,NOT TP,Web,Individual,Billing,Hardware,Error,2024-08-08,,Very satisfied,,Promise fulfillment,,,,,,agosto,32,Thursday
CASE003960,Product B,Agent_044,TP,Phone,Individual,Billing,Software,Installation,2024-07-02,,,,,,,,,,julio,27,Tuesday
CASE003961,Product C,Agent_031,TP,Email,Individual,Billing,Software,Error,2024-07-28,,,,,,,,,,julio,30,Sunday
CASE003962,Product B,Agent_032,TP,Chat,Individual,Technical,Software,Configuration,2024-07-25,,,,,,,,,,julio,30,Thursday
CASE003963,Product A,Agent_012,NOT TP,Email,Individual,General,Hardware,Error,2024-07-16,,,,,,,,,,julio,29,Tuesday
CASE003964,Product A,Agent_011,NOT TP,Email,Individual,Technical,Other,Installation,2024-08-31,,,,,,,,,,agosto,35,Saturday
CASE003965,Product C,Agent_043,NOT TP,Chat,Individual,Billing,Software,Error,2024-08-01,,Very satisfied,,Service attitude,,,,,,agosto,31,Thursday
CASE003966,Product A,Agent_003,NOT TP,Chat,Individual,General,Account,Installation,2024-09-28,Yes,,,,,,,,,septiembre,39,Saturday
CASE003967,,Agent_004,NOT TP,Chat,Business,Billing,Hardware,Question,2024-09-16,,Very dissatisfied,Long processing timeNo solution provided,,,,,,,septiembre,38,Monday
CASE003968,Product A,Agent_042,NOT TP,Phone,Individual,Technical,Hardware,Question,2024-09-29,,,,,,,,,,septiembre,39,Sunday
CASE003969,Product A,Agent_024,NOT TP,Email,Business,General,Software,Configuration,2024-07-27,,,,,,,,,Standard,julio,30,Saturday
CASE003970,,Agent_019,TP,Phone,Individual,Technical,Hardware,Error,2024-08-20,,,,,,WO5706,,,,agosto,34,Tuesday
CASE003971,Product B,Agent_014,TP,Chat,Business,General,Account,Configuration,2024-07-31,,,,,,,,,,julio,31,Wednesday
CASE003972,,Agent_028,NOT TP,Phone,Individual,Billing,Other,Question,2024-09-09,,,,,,,,,,septiembre,37,Monday
CASE003973,Product A,Agent_017,NOT TP,Chat,Business,General,Hardware,Error,2024-08-11,No,,,,,,,,Express,agosto,32,Sunday
CASE003974,Product C,Agent_022,TP,Web,Individual,Technical,Hardware,Error,2024-08-06,,,,,,,,,Standard,agosto,32,Tuesday
CASE003975,Product A,Agent_040,TP,Chat,Business,Technical,Hardware,Configuration,2024-08-18,,,,,,,,,,agosto,33,Sunday
CASE003976,Product C,Agent_049,NOT TP,Email,Individual,Technical,Software,Configuration,2024-08-29,,,,,,WO2860,,,,agosto,35,Thursday
CASE003977,,Agent_030,TP,Email,Individual,Technical,Account,Error,2024-09-07,,,,,,,,,,septiembre,36,Saturday
CASE003978,Product C,Agent_003,NOT TP,Email,Business,Billing,Other,Error,2024-09-22,,,,,,,,,Standard,septiembre,38,Sunday
CASE003979,,Agent_007,NOT TP,Phone,Individual,Technical,Account,Error,2024-08-15,Yes,,,,,,,,,agosto,33,Thursday
CASE003980,,Agent_048,NOT TP,Email,Business,Billing,Account,Configuration,2024-08-09,,,,,,WO9014,,,,agosto,32,Friday
CASE003981,Product C,Agent_004,TP,Chat,Individual,General,Hardware,Installation,2024-08-03,,,,,,,,,,agosto,31,Saturday
CASE003982,Product B,Agent_035,NOT TP,Web,Individual,Technical,Other,Question,2024-08-16,,,,,,,,,,agosto,33,Friday
CASE003983,,Agent_012,NOT TP,Email,Business,General,Account,Question,2024-09-04,,,,,,,,,,septiembre,36,Wednesday
CASE003984,Product C,Agent_011,NOT TP,Phone,Individual,General,Other,Configuration,2024-09-02,,,,,,,,,,septiembre,36,Monday
CASE003985,Product A,Agent_002,NOT TP,Web,Individual,Billing,Software,Error,2024-08-29,,,,,,,,,,agosto,35,Thursday
CASE003986,Product C,Agent_032,TP,Email,Business,Technical,Hardware,Question,2024-07-13,,,,,,WO7701,,,,julio,28,Saturday
CASE003987,Product A,Agent_033,NOT TP,Email,Business,Billing,Software,Question,2024-08-30,,,,,,,,Center A,,agosto,35,Friday
CASE003988,Product A,Agent_008,NOT TP,Web,Business,Technical,Other,Question,2024-08-10,,,,,,,,,Standard,agosto,32,Saturday
CASE003989,Product A,Agent_005,NOT TP,Email,Individual,General,Hardware,Question,2024-07-27,,,,,,,,,,julio,30,Saturday
CASE003990,,Agent_016,TP,Phone,Individual,Billing,Software,Error,2024-08-17,Yes,,,,,,,,,agosto,33,Saturday
CASE003991,Product A,Agent_047,NOT TP,Chat,Individual,Technical,Hardware,Configuration,2024-08-10,,,,,,,,,Premium,agosto,32,Saturday
CASE003992,Product A,Agent_029,NOT TP,Chat,Individual,General,Software,Error,2024-08-22,,,,,,,,,,agosto,34,Thursday
CASE003993,,Agent_038,TP,Web,Business,Billing,Account,Error,2024-07-06,,,,,,,,,,julio,27,Saturday
CASE003994,,Agent_038,TP,Chat,Individual,Billing,Hardware,Question,2024-09-11,,,,,,WO5396,,,,septiembre,37,Wednesday
CASE003995,,Agent_021,NOT TP,Email,Individual,Billing,Other,Question,2024-07-29,,,,,,,,,Express,julio,31,Monday
CASE003996,Product C,Agent_027,TP,Email,Individual,Billing,Hardware,Error,2024-07-19,,,,,,,,,,julio,29,Friday
CASE003997,Product A,Agent_013,TP,Phone,Business,General,Other,Error,2024-07-03,,,,,,,,,Standard,julio,27,Wednesday
CASE003998,Product B,Agent_048,TP,Chat,Business,General,Software,Error,2024-08-03,,,,,,,,,,agosto,31,Saturday
CASE003999,Product C,Agent_044,NOT TP,Web,Individual,General,Software,Installation,2024-09-09,,,,,,,,,,septiembre,37,Monday
CASE004000,Product B,Agent_021,NOT TP,Email,Individual,General,Other,Question,2024-09-13,,,,,,,,,,septiembre,37,Friday
CASE004001,Product C,Agent_015,NOT TP,Web,Business,Technical,Software,Configuration,2024-09-13,,,,,,WO9782,,,Standard,septiembre,37,Friday
CASE004002,,Agent_050,TP,Email,Individual,General,Hardware,Configuration,2024-08-23,,,,,,,,,,agosto,34,Friday
CASE004003,,Agent_008,NOT TP,Email,Individual,Billing,Software,Configuration,2024-08-07,,,,,,,,,Premium,agosto,32,Wednesday
CASE004004,Product A,Agent_021,NOT TP,Phone,Individual,Billing,Other,Installation,2024-07-20,,,,,,WO6401,,,,julio,29,Saturday
CASE004005,Product A,Agent_015,NOT TP,Chat,Individual,Billing,Other,Installation,2024-07-26,,,,,,,,,,julio,30,Friday
CASE004006,Product C,Agent_007,NOT TP,Phone,Individual,Billing,Account,Configuration,2024-08-12,,,,,,,,,,agosto,33,Monday
CASE004007,Product A,Agent_016,TP,Chat,Business,Technical,Other,Configuration,2024-07-30,,,,,,WO1345,,,Standard,julio,31,Tuesday
CASE004008,,Agent_048,NOT TP,Web,Individual,Billing,Software,Configuration,2024-08-18,,,,,,WO2478,,,,agosto,33,Sunday
CASE004009,Product B,Agent_027,TP,Chat,Individual,Billing,Other,Error,2024-09-11,,Very satisfied,,Response time,,,,,,septiembre,37,Wednesday
CASE004010,Product A,Agent_013,NOT TP,Web,Business,Billing,Software,Question,2024-08-01,,,,,,,,,,agosto,31,Thursday
CASE004011,,Agent_025,TP,Email,Business,General,Software,Installation,2024-09-02,,,,,,,,,,septiembre,36,Monday
CASE004012,Product A,Agent_015,TP,Web,Individual,General,Account,Installation,2024-09-09,,,,,,,,,,septiembre,37,Monday
CASE004013,Product C,Agent_005,TP,Web,Individual,Technical,Software,Error,2024-09-22,,,,,,,,,Express,septiembre,38,Sunday
CASE004014,Product C,Agent_031,NOT TP,Email,Individual,Technical,Other,Installation,2024-09-26,,,,,,,,,Standard,septiembre,39,Thursday
CASE004015,Product A,Agent_038,TP,Web,Individual,Technical,Other,Configuration,2024-08-13,,,,,,,,,,agosto,33,Tuesday
CASE004016,,Agent_032,NOT TP,Web,Individual,Billing,Other,Installation,2024-08-02,,,,,,,,,Standard,agosto,31,Friday
CASE004017,,Agent_004,NOT TP,Email,Individual,Technical,Software,Error,2024-09-01,,,,,,WO9776,,,,septiembre,35,Sunday
CASE004018,Product A,Agent_028,TP,Email,Individual,General,Other,Question,2024-09-21,,,,,,,,,,septiembre,38,Saturday
CASE004019,Product B,Agent_010,NOT TP,Email,Individual,General,Hardware,Configuration,2024-09-01,,,,,,,,Center A,,septiembre,35,Sunday
CASE004020,,Agent_014,TP,Chat,Individual,General,Hardware,Installation,2024-08-28,,,,,,,,,,agosto,35,Wednesday
CASE004021,,Agent_040,NOT TP,Email,Individual,Billing,Other,Configuration,2024-07-22,,,,,,,,Center B,Standard,julio,30,Monday
CASE004022,Product C,Agent_030,NOT TP,Email,Individual,Billing,Software,Question,2024-08-15,,,,,,,,,,agosto,33,Thursday
CASE004023,Product C,Agent_012,TP,Web,Individual,Technical,Other,Installation,2024-07-22,,,,,,,,,,julio,30,Monday
CASE004024,Product B,Agent_025,TP,Phone,Individual,Technical,Hardware,Configuration,2024-07-18,,,,,,,,,,julio,29,Thursday
CASE004025,,Agent_024,TP,Phone,Individual,Technical,Software,Error,2024-09-08,,,,,,,,,,septiembre,36,Sunday
CASE004026,,Agent_009,NOT TP,Chat,Individual,Technical,Other,Error,2024-09-01,,,,,,,,,,septiembre,35,Sunday
CASE004027,,Agent_030,NOT TP,Chat,Individual,Billing,Software,Question,2024-07-24,,,,,,WO9627,,,,julio,30,Wednesday
CASE004028,Product B,Agent_047,NOT TP,Phone,Individual,General,Other,Question,2024-09-08,,,,,,,,,,septiembre,36,Sunday
CASE004029,,Agent_013,NOT TP,Phone,Business,Billing,Account,Question,2024-09-21,,,,,,,,,,septiembre,38,Saturday
CASE004030,Product C,Agent_041,TP,Email,Business,Technical,Software,Installation,2024-07-08,,,,,,,,,,julio,28,Monday
CASE004031,Product C,Agent_023,NOT TP,Web,Individual,Billing,Hardware,Question,2024-09-06,,,,,,,,,Premium,septiembre,36,Friday
CASE004032,,Agent_018,NOT TP,Email,Business,General,Hardware,Installation,2024-07-05,,,,,,,,,,julio,27,Friday
CASE004033,Product A,Agent_013,TP,Chat,Individual,Billing,Hardware,Configuration,2024-07-10,,,,,,,,,,julio,28,Wednesday
CASE004034,Product B,Agent_022,TP,Phone,Individual,General,Hardware,Error,2024-09-24,,,,,,,,Center B,,septiembre,39,Tuesday
CASE004035,Product C,Agent_009,TP,Chat,Business,Technical,Other,Configuration,2024-07-07,,,,,,,,,,julio,27,Sunday
CASE004036,Product C,Agent_003,NOT TP,Email,Individual,Billing,Other,Error,2024-07-01,,,,,,,,,Premium,julio,27,Monday
CASE004037,,Agent_045,NOT TP,Chat,Individual,Technical,Software,Question,2024-08-22,,,,,,,,Center A,,agosto,34,Thursday
CASE004038,,Agent_037,TP,Chat,Individual,Technical,Account,Configuration,2024-07-18,,,,,,,,,Standard,julio,29,Thursday
CASE004039,Product B,Agent_004,NOT TP,Web,Individual,General,Account,Configuration,2024-09-19,,,,,,,,,,septiembre,38,Thursday
CASE004040,Product B,Agent_018,TP,Chat,Individual,General,Software,Question,2024-07-30,,,,,,,,,,julio,31,Tuesday
CASE004041,,Agent_009,NOT TP,Email,Individual,Technical,Hardware,Configuration,2024-07-09,,,,,,,,,Standard,julio,28,Tuesday
CASE004042,Product A,Agent_008,TP,Web,Individual,General,Account,Installation,2024-09-29,,Very satisfied,,Communication skills,,,,,Express,septiembre,39,Sunday
CASE004043,Product B,Agent_030,NOT TP,Chat,Individual,General,Account,Error,2024-07-20,Yes,,,,,,,,Express,julio,29,Saturday
CASE004044,,Agent_030,NOT TP,Email,Individual,Technical,Software,Question,2024-07-02,,,,,,,,,,julio,27,Tuesday
CASE004045,Product C,Agent_027,NOT TP,Phone,Business,Technical,Hardware,Installation,2024-07-28,,,,,,,,,,julio,30,Sunday
CASE004046,,Agent_011,NOT TP,Web,Business,General,Other,Installation,2024-09-03,,,,,,,,,Standard,septiembre,36,Tuesday
CASE004047,Product B,Agent_049,TP,Chat,Individual,Technical,Other,Question,2024-08-28,,Neutral,,,,,,Center B,,agosto,35,Wednesday
CASE004048,Product B,Agent_022,TP,Chat,Individual,Technical,Account,Configuration,2024-08-17,,,,,,,,,,agosto,33,Saturday
CASE004049,,Agent_015,TP,Web,Business,General,Other,Error,2024-07-08,,,,,,WO3487,,,Premium,julio,28,Monday
CASE004050,Product B,Agent_019,TP,Email,Individual,Billing,Software,Installation,2024-09-18,Yes,,,,,,,,,septiembre,38,Wednesday
CASE004051,Product B,Agent_039,NOT TP,Chat,Individual,Billing,Account,Configuration,2024-09-20,,,,,,,,Center A,,septiembre,38,Friday
CASE004052,Product C,Agent_011,TP,Email,Individual,Technical,Account,Question,2024-09-24,,,,,,,,,,septiembre,39,Tuesday
CASE004053,,Agent_041,TP,Web,Business,General,Hardware,Question,2024-09-17,,,,,,WO6114,,,Express,septiembre,38,Tuesday
CASE004054,Product B,Agent_040,NOT TP,Chat,Individual,Technical,Other,Error,2024-08-31,,,,,,,,,,agosto,35,Saturday
CASE004055,Product B,Agent_011,NOT TP,Phone,Individual,General,Hardware,Question,2024-09-23,,,,,,,,Center A,,septiembre,39,Monday
CASE004056,Product A,Agent_037,NOT TP,Phone,Individual,Technical,Account,Error,2024-09-01,,,,,,,,,,septiembre,35,Sunday
CASE004057,Product C,Agent_036,TP,Phone,Individual,Technical,Other,Question,2024-07-03,,,,,,,,Center A,Standard,julio,27,Wednesday
CASE004058,,Agent_015,TP,Web,Individual,General,Hardware,Question,2024-07-01,,,,,,,,,,julio,27,Monday
CASE004059,,Agent_006,NOT TP,Chat,Individual,Technical,Other,Installation,2024-09-07,,,,,,,,,,septiembre,36,Saturday
CASE004060,Product A,Agent_027,TP,Web,Individual,Billing,Account,Configuration,2024-09-09,,,,,,WO8723,,,,septiembre,37,Monday
CASE004061,,Agent_034,TP,Chat,Individual,Billing,Account,Installation,2024-08-22,No,,,,,,,,,agosto,34,Thursday
CASE004062,Product C,Agent_032,NOT TP,Phone,Individual,General,Account,Error,2024-07-02,,,,,,,,,,julio,27,Tuesday
CASE004063,Product B,Agent_014,NOT TP,Phone,Business,Technical,Software,Installation,2024-07-03,,,,,,,,,,julio,27,Wednesday
CASE004064,Product A,Agent_038,NOT TP,Email,Business,Billing,Hardware,Question,2024-09-06,,,,,,,,,,septiembre,36,Friday
CASE004065,Product C,Agent_031,TP,Web,Individual,General,Hardware,Question,2024-08-05,,Neutral,,,,,,,Premium,agosto,32,Monday
CASE004066,Product A,Agent_030,TP,Web,Individual,General,Account,Configuration,2024-09-07,,,,,,,,,,septiembre,36,Saturday
CASE004067,Product A,Agent_018,NOT TP,Email,Individual,General,Hardware,Error,2024-08-06,,,,,,,,,,agosto,32,Tuesday
CASE004068,,Agent_001,TP,Phone,Individual,Billing,Account,Question,2024-07-03,,,,,,,,,,julio,27,Wednesday
CASE004069,,Agent_047,NOT TP,Phone,Business,Billing,Hardware,Configuration,2024-09-03,,,,,,,,,,septiembre,36,Tuesday
CASE004070,,Agent_028,NOT TP,Web,Individual,Billing,Other,Configuration,2024-09-28,,,,,,WO7449,,,,septiembre,39,Saturday
CASE004071,Product B,Agent_048,NOT TP,Chat,Individual,Billing,Hardware,Question,2024-09-25,,,,,,WO9955,,,Standard,septiembre,39,Wednesday
CASE004072,Product A,Agent_016,TP,Phone,Business,Technical,Account,Question,2024-08-25,,,,,,,,,,agosto,34,Sunday
CASE004073,,Agent_016,TP,Email,Business,Billing,Hardware,Error,2024-07-23,,,,,,,,,Standard,julio,30,Tuesday
CASE004074,Product A,Agent_021,NOT TP,Email,Individual,General,Other,Configuration,2024-07-14,,,,,,,,,,julio,28,Sunday
CASE004075,,Agent_028,NOT TP,Email,Individual,Technical,Other,Configuration,2024-07-13,,,,,,,,,Standard,julio,28,Saturday
CASE004076,Product C,Agent_038,NOT TP,Web,Individual,Billing,Other,Configuration,2024-09-06,,,,,,,,,,septiembre,36,Friday
CASE004077,,Agent_015,TP,Web,Business,Technical,Account,Error,2024-07-20,,,,,,,,,Premium,julio,29,Saturday
CASE004078,Product C,Agent_038,TP,Web,Business,General,Software,Configuration,2024-07-31,,,,,,,,,,julio,31,Wednesday
CASE004079,Product A,Agent_010,NOT TP,Web,Individual,Billing,Account,Installation,2024-07-25,,,,,,,,,,julio,30,Thursday
CASE004080,Product B,Agent_037,NOT TP,Email,Individual,Technical,Other,Installation,2024-09-18,,,,,,,,,,septiembre,38,Wednesday
CASE004081,,Agent_001,NOT TP,Email,Individual,Billing,Hardware,Configuration,2024-09-06,,,,,,,,,Premium,septiembre,36,Friday
CASE004082,Product C,Agent_027,TP,Web,Individual,Technical,Other,Installation,2024-08-02,,,,,,,,,,agosto,31,Friday
CASE004083,,Agent_003,NOT TP,Web,Individual,Technical,Software,Installation,2024-08-15,,,,,,,,,,agosto,33,Thursday
CASE004084,Product A,Agent_003,NOT TP,Email,Individual,General,Software,Error,2024-08-04,,,,,,,,,,agosto,31,Sunday
CASE004085,Product C,Agent_031,NOT TP,Web,Individual,General,Other,Configuration,2024-08-20,,,,,,,,,Standard,agosto,34,Tuesday
CASE004086,Product C,Agent_047,NOT TP,Web,Business,Billing,Account,Error,2024-07-11,,,,,,WO5095,,,Express,julio,28,Thursday
CASE004087,Product A,Agent_050,TP,Web,Individual,Billing,Software,Configuration,2024-08-17,,,,,,,,,,agosto,33,Saturday
